id;source;name;phone;has_website;website_url;yandex_url;rating;reviews_count;address;target_result
f41a39b7-0a31-453f-a5d1-0148eceb4c99;yandex;Модная Цирюльня;+7 (988) 579-58-69;0;;https://yandex.ru/maps/org/modnaya_tsiryulnya/83553741880/;4,8;175;просп. Ленина, 62, Ростов-на-Дону;
e56a14e1-cfd2-4a42-9ff0-81266f4e7be2;yandex;Натуре бай мазери;+7 (918) 543-30-34;0;;https://yandex.ru/maps/org/nature_bay_mazeri/123499258353/;5,0;330;ул. Шеболдаева, 95, стр. 1, Ростов-на-Дону;
3b28d42f-5a1a-476d-8588-3a19659b51e8;yandex;Мирум;+7 (919) 878-04-11;0;;https://yandex.ru/maps/org/mirum/20022557196/;5,0;112;ул. Ткачёва, 25, Ростов-на-Дону;
d7f29e28-026b-4fdc-be62-11b744e71ef9;yandex;MaVie;+7 (900) 122-32-42;0;;https://yandex.ru/maps/org/mavie/242865069392/;4,9;82;Таганрогская ул., 122, Ростов-на-Дону;
0d5517ce-728e-4c43-8291-4edf40975f1a;yandex;Релакс;+7 (928) 103-82-36;0;;https://yandex.ru/maps/org/relaks/120946163961/;5,0;89;ул. Платона Кляты, 5, Ростов-на-Дону;
23a14b09-5fc9-4287-afb0-591599ff8a4d;yandex;Атмосфера красоты;+7 (950) 863-63-03;0;;https://yandex.ru/maps/org/atmosfera_krasoty/109799476382/;5,0;94;ул. Шеболдаева, 95, стр. 1, Ростов-на-Дону;
5affd858-da14-4a6b-acb0-f474f2dd2399;yandex;Энигма;+7 (951) 506-39-34;0;;https://yandex.ru/maps/org/enigma/1186064011/;4,4;152;просп. Ленина, 19, Ростов-на-Дону;
62b168a3-b2f2-4233-81f4-9ce16aa2118b;yandex;BMW Garage;+7 (928) 928-17-45;0;;https://yandex.ru/maps/org/bmw_garage/1147691707/;4,4;99;ул. Левченко, 201А, Владикавказ;
d3956706-6216-464e-a08f-bdf4f47c4fc6;yandex;Chibamotors;+7 (8672) 20-20-21;0;;https://yandex.ru/maps/org/chibamotors/49889183675/;4,5;178;ул. Валерия Чкалова, 1, Владикавказ;
24ca167d-4e23-42c7-a8cb-c68f743da2d7;yandex;Расточка тормозных дисков;+7 (918) 830-32-95;0;;https://yandex.ru/maps/org/rastochka_tormoznykh_diskov/90558658626/;4,1;38;просп. Доватора, 164, Владикавказ;
3587dc0f-7ac4-4730-b440-837a20793266;yandex;Hyundai Иравто;+7 (8672) 28-94-40;0;;https://yandex.ru/maps/org/hyundai_iravto/36213721275/;4,4;524;Московское ш., 2, Владикавказ;
4768388d-0030-47d9-8d33-867c935d39b7;yandex;Автомастерская у дяди Юры;+7 (918) 828-48-88;0;;https://yandex.ru/maps/org/avtomasterskaya_u_dyadi_yury/163785066348/;4,9;32;Весенняя ул., 21Б, Владикавказ;
f4ef5229-2c20-4f51-bf6b-086559f36c5b;yandex;Вегас;+7 (999) 245-49-43;0;;https://yandex.ru/maps/org/vegas/242267919665/;4,6;122;Республика Северная Осетия — Алания, Владикавказ, улица Хадарцева;
378c9556-df15-4ef4-81c8-cf4e9f597a20;yandex;Владикавказский таксомоторный парк;+7 (8672) 76-44-44;0;;https://yandex.ru/maps/org/vladikavkazskiy_taksomotorny_park/1082999607/;4,2;89;Гвардейская ул., 2, Владикавказ;
16286e80-35be-4564-b877-49f264ec09ac;yandex;Авто Плюс;+7 (8672) 96-00-36;0;;https://yandex.ru/maps/org/avto_plyus/49834118288/;4,7;110;Гвардейская ул., 25А, Владикавказ;
1f4b79f1-d3e9-4922-8fd4-afd361497cc2;yandex;Favorite;+7 (989) 746-66-99;0;;https://yandex.ru/maps/org/favorite/128507376012/;4,6;101;ул. Бориса Лакути, 67, Владикавказ;
f56c1b75-a9ab-4c60-9a4a-dab23225a973;yandex;Mobil1 центр Автостатус;8 (800) 707-90-90;0;;https://yandex.ru/maps/org/mobil1_tsentr_avtostatus/90464826759/;4,9;75;Ардонская ул., 93, Владикавказ;
85b8816e-921c-4d44-ae67-900f424d39f2;yandex;Студия 56;+7 (902) 527-74-44;0;;https://yandex.ru/maps/org/studiya_56/1361336083/;4,6;38;просп. 100-летия Владивостока, 56, Владивосток;
bb82abbd-0117-42e7-aa05-21e0801dec16;yandex;Парикмахерская № 8;+7 (951) 018-87-37;0;;https://yandex.ru/maps/org/parikmakherskaya_8/210837215980/;4,9;124;Казанская ул., 7, Владивосток;
657585c9-e6c5-4fcc-ab50-c634e2f7558d;yandex;Студия красоты Анастасии Гришиной;+7 (902) 489-50-24;0;;https://yandex.ru/maps/org/studiya_krasoty_anastasii_grishinoy/239189290391/;5,0;54;Русская ул., 71, Владивосток;
ad47ac12-1dd5-44f2-ba78-e23b181db7bd;yandex;Нина;+7 (984) 199-89-80;0;;https://yandex.ru/maps/org/nina/76530987905/;4,2;44;Луговая ул., 26, Владивосток;
d7700e09-c63e-46c9-a01d-6378100ad70f;yandex;ArtStyle;+7 (914) 695-38-87;0;;https://yandex.ru/maps/org/artstyle/1080162671/;4,1;70;ул. Терешковой, 21, Владивосток;
